observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Shoots3	Syllep1	Circum2	Height2	REP	Height1	Circum1
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2004	2004-01-01T01:00:00Z							72.900000000000006
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2004	2004-12-01T01:00:00Z			188.95				
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2004	2004-01-01T01:00:00Z						312.39999999999998	
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2004	2004-12-01T01:00:00Z				897.4			
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2004	2004-01-01T01:00:00Z		42.03					
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2004	2004-12-01T01:00:00Z					6		
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2005	2005-05-01T02:00:00Z	11.343423999999999						
661300425	gnpis.lot:'661300425'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZHRlc4VQ==	661300425	661300425	2005	2005-05-01T02:00:00Z					6		
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2004	2004-01-01T01:00:00Z							63.57
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2004	2004-12-01T01:00:00Z			171.61				
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2004	2004-01-01T01:00:00Z						308.89999999999998	
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2004	2004-12-01T01:00:00Z				820.7			
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2004	2004-01-01T01:00:00Z		42.36					
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2004	2004-12-01T01:00:00Z					6		
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2005	2005-05-01T02:00:00Z	13.942755999999999						
661300576	gnpis.lot:'661300576'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhGUzZDSw==	661300576	661300576	2005	2005-05-01T02:00:00Z					6		
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2004	2004-01-01T01:00:00Z							59.07
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2004	2004-12-01T01:00:00Z			145.78				
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2004	2004-01-01T01:00:00Z						272.60000000000002	
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2004	2004-12-01T01:00:00Z				717.4			
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2004	2004-01-01T01:00:00Z		23.03					
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2004	2004-12-01T01:00:00Z					6		
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2005	2005-05-01T02:00:00Z	7.2576359999999998						
661300406	gnpis.lot:'661300406'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZQN1lNVw==	661300406	661300406	2005	2005-05-01T02:00:00Z					6		
661300558	gnpis.lot:'661300558'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSUNOVQ==	661300558	661300558	2004	2004-01-01T01:00:00Z							61.24
661300558	gnpis.lot:'661300558'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSUNOVQ==	661300558	661300558	2004	2004-12-01T01:00:00Z			155.28				
661300558	gnpis.lot:'661300558'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSUNOVQ==	661300558	661300558	2004	2004-01-01T01:00:00Z						282.39999999999998	
661300558	gnpis.lot:'661300558'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSUNOVQ==	661300558	661300558	2004	2004-12-01T01:00:00Z				815.7			
661300558	gnpis.lot:'661300558'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSUNOVQ==	661300558	661300558	2004	2004-01-01T01:00:00Z		28.36					
