observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	Shoots3	Syllep1	Circum2	Height2	REP	Height1	Circum1
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-03-21T01:00:00Z	90.151936882643398							
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-01-01T01:00:00Z								48.94
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-12-01T01:00:00Z				124.55				
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-01-01T01:00:00Z							252.2	
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-12-01T01:00:00Z					534.79999999999995			
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-01-01T01:00:00Z			23.9					
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2004	2004-12-01T01:00:00Z						6		
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2005	2005-05-01T02:00:00Z		11.249316						
661300551	gnpis.lot:'661300551'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZXUlFaUA==	661300551	661300551	2005	2005-05-01T02:00:00Z						6		
661300286	gnpis.lot:'661300286'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09GRlBDRw==	661300286	661300286	2004	2004-03-21T01:00:00Z	95.985270215976698							
661300286	gnpis.lot:'661300286'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09GRlBDRw==	661300286	661300286	2004	2004-01-01T01:00:00Z								45.27
661300286	gnpis.lot:'661300286'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09GRlBDRw==	661300286	661300286	2004	2004-12-01T01:00:00Z				118.11				
661300286	gnpis.lot:'661300286'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09GRlBDRw==	661300286	661300286	2004	2004-01-01T01:00:00Z							247.4	
661300286	gnpis.lot:'661300286'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09GRlBDRw==	661300286	661300286	2004	2004-12-01T01:00:00Z					547.9			
