VarietyID	AccessionID	institute	DOI	Parent1	Parent1 institute	Parent2	Parent2 institute	CodeID	Panel246	GeneticGroup	Holding	HoldingName
11430	11430_H	inra	https://doi.org/10.15454/MDSCXQ	11430_usda	USDA	UH_007	UH	3101	yes	Iodent	CIAM, Spain	Centro de Investigaciones Agrarias de Mabegondo
A3	A3_H	inra	https://doi.org/10.15454/GAHOFA	A3_inra	INRA	UH_007	UH	3102	yes	Other	CIMMYT, Mexico	Centro International de Mejoramiento de Maiz y Trigo
A310	A310_H	inra	https://doi.org/10.15454/CNJTVT	A310_inra	INRA	UH_007	UH	3008	yes	Other	CREA, Italy	Ronsiglio per la ricerca in agricoltura
A347	A347_H	inra	https://doi.org/10.15454/O8CNHP	A347_inra	INRA	UH_007	UH	3013	yes	Other	CSIC, Spain	Consejo Superior de Investigaciones Científicas
A374	A374_H	inra	https://doi.org/10.15454/7OOY7F	A374_inra	INRA	UH_007	UH	3017	yes	Other	IFSI, USA	Illinois Foundation Seeds, Inc.
A375	A375_H	inra	https://doi.org/10.15454/IGF7DX	A375_inra	INRA	UH_007	UH	3103	yes	Other	INRA, France	Institut National de la Recherche Agronomique
A554	A554_H	inra	https://doi.org/10.15454/9E4IDY	A554_inra	INRA	UH_007	UH	3221	yes	Other	MTA ATK, Hungary	Magyar Tudományos Akadémia MTA Agrártudományi Kutatóközpont
AS5707	AS5707_H	inra	https://doi.org/10.15454/U4PWL3	AS5707_usda	USDA	UH_007	UH	3067	yes	Lancaster	UH, Germany	University of Hohenheim
B100	B100_H	inra	https://doi.org/10.15454/PJSPJG	B100_uh	UH	UH_007	UH	3019	yes	Lancaster	USDA, USA	United States Department of Agriculture
B104	B104_H	inra	https://doi.org/10.15454/4W8MAU	B104_inra	INRA	UH_007	UH	3029	yes	Stiff_Stalk		
B105	B105_H	inra	https://doi.org/10.15454/KIHXDG	B105_inra	INRA	UH_007	UH	3012	yes	Other		
B106	B106_H	inra	https://doi.org/10.15454/U7YFIU	B106_inra	INRA	UH_007	UH	3066	yes	Other		
B107	B107_H	inra	https://doi.org/10.15454/XH5MEH	B107_inra	INRA	UH_007	UH	3053	yes	Iodent		
B108	B108_H	inra	https://doi.org/10.15454/21XOCO	B108_uh	UH	UH_007	UH	3074	yes	Other		
B109	B109_H	inra	https://doi.org/10.15454/X4VLZJ	B109_uh	UH	UH_007	UH	3104	yes	Stiff_Stalk		
B110	B110_H	inra	https://doi.org/10.15454/3XPQEN	B110_uh	UH	UH_007	UH	3105	yes	Stiff_Stalk		
B113	B113_H	inra	https://doi.org/10.15454/HZM5Q3	B113_uh	UH	UH_007	UH	3059	yes	Other		
B14a	B14a_H	inra	https://doi.org/10.15454/ZSEK9Q	B14a_inra	INRA	UH_007	UH	3258	no	Stiff_Stalk		
B37	B37_H	inra	https://doi.org/10.15454/QKMCCR	B37_inra	INRA	UH_007	UH	3085	yes	Other		
B73	B73_H	inra	https://doi.org/10.15454/P5UIAJ	B73_inra	INRA	UH_007	UH	3001	yes	Stiff_Stalk		
B84	B84_H	inra	https://doi.org/10.15454/MN1MDA	B84_inra	INRA	UH_007	UH	3009	yes	Stiff_Stalk		
B89	B89_H	inra	https://doi.org/10.15454/LFK19C	B89_inra	INRA	UH_007	UH	3030	yes	Other		
B97	B97_H	inra	https://doi.org/10.15454/3UYP74	B97_usa	USA	UH_007	UH	3027	yes	Other		
B98	B98_H	inra	https://doi.org/10.15454/T3WOSC	B98_uh	UH	UH_007	UH	3079	yes	Other		
C103	C103_H	inra	https://doi.org/10.15454/RYTRV5	C103_inra	INRA	UH_007	UH	3106	yes	Other		
CO109	CO109_H	inra	https://doi.org/10.15454/X6F0EB	CO109_inra	INRA	UH_007	UH	3050	yes	Other		
CR1Ht	CR1Ht_H	inra	https://doi.org/10.15454/UIVO1U	CR1Ht_usda	USDA	UH_007	UH	3107	yes	Lancaster		
D09	D09_H	inra	https://doi.org/10.15454/MWWCXA	D09_uh	UH	UH_007	UH	3108	yes	Other		
DE811	DE811_H	inra	https://doi.org/10.15454/4ES48F	DE811_inra	INRA	UH_007	UH	3109	yes	Stiff_Stalk		
DK4676A	DK4676A_H	inra	https://doi.org/10.15454/JQK4DZ	DK4676A_usda	USDA	UH_007	UH	3097	yes	Stiff_Stalk		
DK78010	DK78010_H	inra	https://doi.org/10.15454/CFMQSJ	DK78010_usda	USDA	UH_007	UH	3110	yes	Stiff_Stalk		
DK78371A	DK78371A_H	inra	https://doi.org/10.15454/CGZZ3F	DK78371A_usda	USDA	UH_007	UH	3056	yes	Lancaster		
DKFAPW	DKFAPW_H	inra	https://doi.org/10.15454/WUYS9V	DKFAPW_usda	USDA	UH_007	UH	3111	yes	Stiff_Stalk		
DKFBHJ	DKFBHJ_H	inra	https://doi.org/10.15454/WMRRM7	DKFBHJ_usda	USDA	UH_007	UH	3081	yes	Stiff_Stalk		
DKIBO2	DKIBO2_H	inra	https://doi.org/10.15454/JHDBU3	DKIBO2_usda	USDA	UH_007	UH	3112	yes	Iodent		
DKMBST	DKMBST_H	inra	https://doi.org/10.15454/KN2JI5	DKMBST_usda	USDA	UH_007	UH	3113	yes	Lancaster		
EA1027	EA1027_H	inra	https://doi.org/10.15454/NC19EQ	EM1027_inra	INRA	UH_007	UH	3120	yes	Other		
EA1163	EA1163_H	inra	https://doi.org/10.15454/CV1BWK	EM1163_inra	INRA	UH_007	UH	3070	yes	Other		
EA3076	EA3076_H	inra	https://doi.org/10.15454/7XVPGB	EA3076_csic	CSIC	UH_007	UH	3090	yes	Other		
EC136	EC136_H	inra	https://doi.org/10.15454/OTWCEI	EC136_ciam	CIAM	UH_007	UH	3087	yes	Stiff_Stalk		
EC140	EC140_H	inra	https://doi.org/10.15454/TB90FE	EC140_ciam	CIAM	UH_007	UH	3114	yes	Stiff_Stalk		
EC151	EC151_H	inra	https://doi.org/10.15454/HPRD42	EC151_ciam	CIAM	UH_007	UH	3115	yes	Stiff_Stalk		
EC169	EC169_H	inra	https://doi.org/10.15454/I2LIRO	EC169_ciam	CIAM	UH_007	UH	3116	yes	Stiff_Stalk		
EC175	EC175_H	inra	https://doi.org/10.15454/LQ4CSH	EC175_ciam	CIAM	UH_007	UH	3117	yes	Stiff_Stalk		
EC232	EC232_H	inra	https://doi.org/10.15454/V2GUZ8	EC232_ciam	CIAM	UH_007	UH	3033	yes	Other		
